iteration,residual_norm,correction_norm,state_jacobian_condition,state_jacobian_min_singular_value,linear_solver,step_factor,experiment,z_W0_m,smooth_width_m
4,3.548740798130118e-08,2.041159444270233e-11,2957.954934476343,0.9131344593446866,solve,0.5,fixed_z_width_path,9700.0,10.0
5,2.6001227916994456e-08,1.4950692107135227e-11,2957.954928903843,0.9131344587327561,solve,0.5,fixed_z_width_path,9700.0,10.0
6,1.833680804948588e-08,1.0550384663700984e-11,2957.95493521817,0.9131344593334861,solve,0.5,fixed_z_width_path,9700.0,10.0
7,1.2284717751318083e-08,7.069863462326102e-12,2957.9540022966585,0.9131343770595678,solve,0.5,fixed_z_width_path,9700.0,10.0
0,1.1970781693856772e-07,7.036338617028359e-11,4742.05115061106,0.8586475201093746,solve,1.0,fixed_z_width_path,9800.0,300.0
1,5.8029591383200924e-08,1.7053594726423593e-11,4742.049546613386,0.8586474892896668,solve,0.5,fixed_z_width_path,9800.0,300.0
2,3.520864746592621e-08,1.0345168079099554e-11,4742.049544906246,0.8586474892917383,solve,0.5,fixed_z_width_path,9800.0,300.0
3,2.1784269106579272e-08,6.400929804623114e-12,4742.049546165726,0.8586474892611675,solve,0.5,fixed_z_width_path,9800.0,300.0
4,1.3660023731828906e-08,4.0155550059158954e-12,4742.0511411266725,0.8586475199299234,solve,0.5,fixed_z_width_path,9800.0,300.0
0,37.864039208075795,0.0639449087866397,4793.060618767328,0.8480920492052954,solve,1.0,fixed_z_width_path,9800.0,200.0
1,0.7938937416254518,0.0013031259601192409,4994.484827371694,0.848426299238378,solve,1.0,fixed_z_width_path,9800.0,200.0
2,0.00036421340821635097,5.651880797609843e-07,4990.331684621165,0.8484183883671327,solve,1.0,fixed_z_width_path,9800.0,200.0
3,7.441184049344355e-08,4.4085321738144604e-11,4990.329934540961,0.848418383913136,solve,1.0,fixed_z_width_path,9800.0,200.0
4,4.6013847538255515e-08,1.3616537457070829e-11,4990.329936826594,0.8484183839535252,solve,0.5,fixed_z_width_path,9800.0,200.0
5,2.7249040822749867e-08,4.0323139127684125e-12,4990.3299245983635,0.8484183836251571,solve,0.25,fixed_z_width_path,9800.0,200.0
0,36.03873936398223,0.06120649329888885,5046.245482790328,0.8378356050400915,solve,1.0,fixed_z_width_path,9800.0,150.0
1,0.7173593394961202,0.0011934602317578403,5249.327484579188,0.8381382086485665,solve,1.0,fixed_z_width_path,9800.0,150.0
