experiment,accepted,reason,z_W0_m,z_W0_km,smooth_width_m,mu_log_width_over_50m,width_inverse_mapping,q_z_W0_scaled,z_m,u_m_s,w_m_s,m_kg,scaled_x0_z,scaled_x1_u,scaled_x2_w,scaled_x3_log_m,physical_residual_norm,transformed_residual_norm,scaled_residual_norm,max_abs_scaled_residual,newton_iterations,state_jacobian_condition,state_jacobian_min_singular_value,state_jacobian_max_singular_value,width_branch_condition,width_branch_min_singular_value,width_branch_max_singular_value,width_tangent_mu,width_tangent_state_norm,z_branch_condition,z_branch_min_singular_value,z_branch_max_singular_value,z_tangent_lambda,critical_real_s_inv,critical_imag_s_inv,stable_eigenvalue_count,smoothed_W_a_m_s,piecewise_W_a_m_s,updraft_difference_m_s,distance_to_z_W0_m,distance_to_ramp_base_m,in_transition_region
fixed_z_width_path,True,converged,9800.0,9.8,150.0,1.0986122886681098,width_m = 50*exp(mu),0.8,9603.757491362592,1.9812125431870438,1.7749090881935914e-29,2.5512606839627437e-10,-0.14270040898344133,0.07135020449172133,2.9084536489254557e-20,-1.4431708887616446,2.1800630652602055e-13,2.1800632201538619e-13,8.218032950126184e-09,8.21800403394053e-09,4,5245.324946317229,0.8381312235523678,4396.270615186617,5205.130556577023,0.8446043621376618,4396.275973580989,0.974002215449425,0.22653848304341592,4433.54111041639,0.9941453439785829,4407.584252258091,0.1670020647173636,0.0008639364831843036,0.0,2,0.25752557872718035,0.20751498272518437,0.05001059600199598,-196.2425086374078,103.75749136259219,True
fixed_z_width_path,True,converged,9800.0,9.8,100.0,0.6931471805599453,width_m = 50*exp(mu),0.8,9603.058118327548,1.9847094083622583,1.0269572175516248e-24,2.2942873024584747e-10,-0.14969413933387363,0.07484706966693588,2.9094805883939164e-20,-1.5493362599385088,1.88787464708964e-12,1.887874648774957e-12,7.979285343621474e-09,7.97705170398821e-09,7,5743.205012995027,0.8187059662937144,4701.9962097869975,5670.866933134753,0.8291518051322783,4702.009554273627,0.9612824140911324,0.2755650927804985,5344.26306688575,0.9967503881692819,5326.896286397128,0.11522496534189505,0.0011971474705141268,0.0,2,0.2410173941362232,0.20611623665509612,0.03490115748112707,-196.94188167245193,103.05811832754807,True
fixed_z_width_path,True,converged,9800.0,9.8,75.0,0.4054651081081644,width_m = 50*exp(mu),0.8,9602.531125217407,1.9873443739129668,-5.6579954372706765e-24,2.1102785172134722e-10,-0.15496407043529095,0.07748203521764445,2.902795635739094e-20,-1.6329385741750078,2.5967849338519144e-13,2.59678497616572e-13,4.6879254694299926e-09,4.687853546958474e-09,7,6181.267530939732,0.8023304387065516,4959.419089861438,6095.985627877968,0.8135578042276465,4959.43668201969,0.9607614581468568,0.2773759552295866,6616.196517906264,0.9976812563913184,6600.855254516588,0.09169892103152982,0.0014325608609402443,0.0,2,0.22870411353335565,0.20506225043481388,0.02364186309854177,-197.46887478259305,102.53112521740695,True
fixed_z_width_path,True,converged,9800.0,9.8,50.0,0.0,width_m = 50*exp(mu),0.8,9601.90196587964,1.9904901706017974,4.693610395471253e-24,1.9014353114560613e-10,-0.16125566381295475,0.08062783190647511,2.913147241571836e-20,-1.7371494835681829,3.77702718648037e-12,3.7770271869408385e-12,5.9098812384224094e-09,5.897799327595257e-09,6,6793.931186331561,0.7804565686924965,5302.368221617272,6736.624268898655,0.7870975308366561,5302.380328224425,0.978270059532575,0.20733473086324028,8321.44400252696,0.9983462002307765,8307.682000355973,0.07188179240889267,0.0017090213226745921,0.0,2,0.21416611154525506,0.2038039317592811,0.010362179785973952,-198.09803412035944,101.90196587964056,True
fixed_z_width_path,True,converged,9800.0,9.8,35.0,-0.35667494393873245,width_m = 50*exp(mu),0.8,9601.573201400573,1.992133992997141,1.760070737933858e-24,1.7969945118961664e-10,-0.16454330860363314,0.08227165430181838,2.910213701914299e-20,-1.793642957871171,4.3447414402411963e-13,4.3447414857741074e-13,6.290280830232259e-09,6.2901307812611645e-09,5,7163.681364586881,0.7676935866191349,5499.512240176361,7147.295262041902,0.7694541027826057,5499.51566317682,0.9944190892568073,0.10550201382751889,9375.872914218071,0.9986073422375495,9362.815532024337,0.06329150468697943,0.0018677227654629138,0.0,2,0.20664707432749413,0.2031464028011469,0.0035006715263472266,-198.42679859942655,101.57320140057345,True
fixed_z_width_path,True,converged,9800.0,9.8,25.0,-0.6931471805599453,width_m = 50*exp(mu),0.8,9601.444935755177,1.9927753212241142,1.5654153539485757e-27,1.7571194164179127e-10,-0.16582596505759006,0.08291298252879169,2.9084551965917186e-20,-1.8160827386471854,2.5188829204868964e-13,2.518883023817777e-13,7.215006146336557e-09,7.214962176931877e-09,8,7320.99065443343,0.7622565676057591,5580.473207722266,7319.092536902853,0.7624543041101114,5580.473606941774,0.9993808825833949,0.03518311422877142,9882.283226008107,0.9987125950681808,9869.56072584531,0.059814295129725345,0.0019447758572654608,0.0,2,0.20372907013227398,0.20288987151035323,0.0008391986219207503,-198.55506424482337,101.44493575517663,True
fixed_z_width_path,True,converged,9800.0,9.8,10.0,-1.6094379124341003,width_m = 50*exp(mu),0.8,9601.404440028553,1.992977799857238,-6.693551834759638e-28,1.744631722983606e-10,-0.16623092232383296,0.08311546116191557,2.908452961821181e-20,-1.8232150252512564,9.363331701080496e-14,9.363333665991258e-14,6.065996537895141e-09,6.065989311379908e-09,6,7373.986656810535,0.7603480597006839,5606.796446764623,7373.986648045356,0.7603480606047338,5606.796446766488,0.9999999971817457,7.507668456749699e-05,10097.654681620168,0.9987564932048444,10085.098179408438,0.058434256187244696,0.0019797290671261006,0.0,2,0.20280966901975242,0.20280888005710584,7.889626465751309e-07,-198.59555997144707,101.40444002855293,True
fixed_z_width_path,True,converged,9900.0,9.9,300.0,1.791759469228055,width_m = 50*exp(mu),0.9,9602.54858603188,1.9872570698406022,6.57898195624149e-30,2.116242679821414e-10,-0.15478946229056353,0.07739473114527992,2.9084536377553467e-20,-1.6301163162050678,1.54066166660873e-13,1.5406616836546083e-13,2.291860312686865e-09,2.291808528004039e-09,6,6056.981756854628,0.81529154644855,4938.206023356664,5873.262041139115,0.8407953242831162,4938.21126247928,0.9065396000252374,0.4221207808034126,5042.850701699236,0.9793117676967382,4938.523034911816,0.290934020819111,0.0003645238225916682,0.0,2,0.22911019147833406,0.005097172063760809,0.22401301941457324,-297.4514139681196,2.5485860318804043,True
fixed_z_width_path,True,converged,9900.0,9.9,200.0,1.3862943611198906,width_m = 50*exp(mu),0.9,9601.166913445999,1.994165432770007,-1.1000796361774866e-29,1.6723663518415477e-10,-0.16860618814936507,0.0843030940746846,2.908453620175568e-20,-1.8655189110167847,1.1169570680670909e-14,1.117000339852741e-14,9.831954401586433e-09,9.8319543381406e-09,8,7420.364094460651,0.7725753995685419,5732.7907552219995,6898.2617120055675,0.8310513284214073,5732.809559560758,0.8143660814345266,0.5803515188305913,5802.204998689989,0.9882958191296498,5734.294941938471,0.1878210088860302,0.0005722263036043113,0.0,2,0.1974354102813725,0.0023338268919978872,0.1951015833893746,-298.83308655400106,1.1669134459989436,True
fixed_z_width_path,True,residual accepted after maximum iterations,9900.0,9.9,150.0,1.0986122886681098,width_m = 50*exp(mu),0.9,9599.920760258472,2.0003961987076346,2.681464061321757e-29,1.3206003559027415e-10,-0.18106772002463378,0.09053386001231231,2.9084536579910053e-20,-2.1016720633522072,3.6076248224819535e-13,3.607625374232788e-13,1.9952526987441312e-08,1.9952494372606347e-08,14,9212.183671229228,0.7238196771931955,6667.959811153566,8121.54312918588,0.8210260462927284,6667.9984451513565,0.729431067900464,0.6840543232679616,6728.494182841234,0.9916427989927328,6672.262804479002,0.13648008332285072,0.0007091333844646112,0.0,2,0.16980540840152117,0.0,0.16980540840152117,-300.079239741528,-0.07923974152799929,True
