branch,point,ty,label,type,z_W0,l2_norm,sigma_S,R_zeta,sigma_plus_Rzeta,R,driving_factor,k
1,139,0,0,regular,3199.99947,10178.504111,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,8.2959680792e-14,16.342632158
1,140,4,18,UZ/NPR,3149.999465,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,9.6303000297e-13,16.342632158
1,141,0,0,regular,3099.99946,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-5.7264089304e-13,16.342632158
1,142,0,0,regular,3049.999455,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,-3.3082737938e-13,16.342632158
1,143,0,0,regular,2999.99945,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-2.5837318396e-13,16.342632158
1,144,0,0,regular,2949.999445,10178.504111,-0.00012260259829,-7.7693944683e-08,-0.00012268029223,0.0092226705878,4.0942076118e-13,16.342632158
1,145,0,0,regular,2899.99944,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,4.6506201667e-14,16.342632158
1,146,0,0,regular,2849.999435,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-3.199367854e-13,16.342632158
1,147,0,0,regular,2799.99943,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,4.6298555267e-13,16.342632158
1,148,0,0,regular,2749.999425,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-1.9972738741e-13,16.342632158
1,149,0,0,regular,2699.99942,10178.504111,-0.00012260259756,-7.7693944679e-08,-0.0001226802915,0.0092226705878,5.4766607915e-13,16.342632158
1,150,4,19,UZ/NPR,2649.999415,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,9.3624760722e-14,16.342632158
1,151,0,0,regular,2599.99941,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,2.8390137463e-13,16.342632158
1,152,0,0,regular,2549.999405,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,2.0675648693e-13,16.342632158
1,153,0,0,regular,2499.9994,10178.504111,-0.00012260259829,-7.7693944683e-08,-0.00012268029223,0.0092226705878,-5.4730525667e-13,16.342632158
1,154,0,0,regular,2449.999395,10178.504111,-0.00012260259793,-7.7693944677e-08,-0.00012268029187,0.0092226705878,-1.2215575773e-13,16.342632158
1,155,0,0,regular,2399.99939,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,1.0199324024e-12,16.342632158
1,156,0,0,regular,2349.999385,10178.504111,-0.00012260259793,-7.769394468e-08,-0.00012268029187,0.0092226705878,-4.1928786831e-13,16.342632158
1,157,0,0,regular,2299.99938,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,-2.0661770905e-13,16.342632158
1,158,0,0,regular,2249.999375,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,7.4591548216e-13,16.342632158
1,159,0,0,regular,2199.99937,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,6.6123842513e-13,16.342632158
1,160,4,20,UZ/NPR,2149.999365,10178.504111,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,1.0385997617e-12,16.342632158
1,161,0,0,regular,2099.99936,10178.504111,-0.00012260259792,-7.7693944683e-08,-0.00012268029187,0.0092226705878,4.3768287605e-13,16.342632158
1,162,0,0,regular,2049.999355,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,4.596548836e-13,16.342632158
1,163,0,0,regular,1999.99935,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-1.4107638668e-13,16.342632158
1,164,0,0,regular,1949.999345,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-2.7063420949e-14,16.342632158
1,165,0,0,regular,1899.99934,10178.504111,-0.00012260259792,-7.7693944679e-08,-0.00012268029187,0.0092226705878,2.4697778545e-13,16.342632158
1,166,0,0,regular,1849.999335,10178.504111,-0.00012260259792,-7.7693944683e-08,-0.00012268029187,0.0092226705878,1.4830150996e-13,16.342632158
1,167,0,0,regular,1799.99933,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,1.4830324468e-13,16.342632158
1,168,0,0,regular,1749.999325,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,3.9723085932e-13,16.342632158
1,169,0,0,regular,1699.99932,10178.504111,-0.00012260259793,-7.7693944679e-08,-0.00012268029187,0.0092226705878,-2.2528159893e-13,16.342632158
1,170,4,21,UZ/NPR,1649.999315,10178.504111,-0.00012260259829,-7.7693944684e-08,-0.00012268029223,0.0092226705878,3.9433560584e-13,16.342632158
1,171,0,0,regular,1599.99931,10178.504111,-0.00012260259829,-7.7693944682e-08,-0.00012268029223,0.0092226705878,5.3205703732e-14,16.342632158
1,172,0,0,regular,1549.999305,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-5.3033966108e-14,16.342632158
1,173,0,0,regular,1499.9993,10178.504111,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,-4.4153916634e-13,16.342632158
1,174,0,0,regular,1449.999295,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,-4.4862030757e-13,16.342632158
1,175,0,0,regular,1399.99929,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,3.8297663651e-13,16.342632158
1,176,0,0,regular,1349.999285,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,4.1922888772e-13,16.342632158
1,177,0,0,regular,1299.99928,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,-1.2807463423e-14,16.342632158
