method,t_h,x_m,z_m,u_m_s,w_m_s,m_kg,a,c,C_D,Re,S_i,η,R,driving_factor,m_dot
BDF,139.0,933668.2090042392,9607.436713389323,1.9628160068601836,-0.0013897379347502683,1.0853280022590118e-09,5.37744493644959e-05,0.0001075488987289918,9.787350216613298,2.4618046054934153,1.0014096363276774,1.0214873426778646,0.00201045614165395,-0.0006008198139765175,-1.046421878102346e-15
BDF,139.16666666666666,934847.0889412292,9606.663628979259,1.9666814917465747,-0.0011852394466375707,1.0846770866754495e-09,5.37633766746892e-05,0.0001075267533493784,9.791098995862278,2.460700959046307,1.0013516114153078,1.0213327257958518,0.001995567816802286,-0.0006439564014944677,-1.1212685525453378e-15
BDF,139.33333333333334,936028.1007383204,9606.01658404168,1.969916782529007,-0.0009699875103519965,1.0839849774802894e-09,5.37515983866157e-05,0.0001075031967732314,9.795232106450738,2.459485305827949,1.0013030475513653,1.0212033168083359,0.0019830135459133415,-0.0006799659945479976,-1.1836298357936723e-15
BDF,139.5,937210.8573123896,9605.501329614459,1.9724931232899199,-0.000746331885631069,1.083259337179717e-09,5.373924408726608e-05,0.00010747848817453216,9.799703708119612,2.458171439398357,1.0012643758448792,1.0211002659228918,0.0019729047535478723,-0.0007085289086687214,-1.2329576771819453e-15
BDF,139.66666666666666,938394.9564165554,9605.122186361423,1.9743889099630663,-0.000516692222932195,1.0825081150101718e-09,5.372644843840974e-05,0.00010745289687681948,9.804464686677884,2.4567740817679513,1.0012359201366128,1.0210244372722845,0.001965325950471809,-0.0007294058138590308,-1.2688480496785939e-15
BDF,139.83333333333334,939579.9850498165,9604.882007905157,1.9755898736770292,-0.00028353157349978163,1.0817394583029014e-09,5.371334970165919e-05,0.00010742669940331838,9.809463175396935,2.4553087148822836,1.0012178942641052,1.0209764015810314,0.0019603340746376465,-0.0007424398105324117,-1.2910440055896803e-15
BDF,140.0,940765.5239022404,9604.78216236882,1.9760891730543855,-4.933016968624903e-05,1.0809616235601646e-09,5.370008824874274e-05,0.00010740017649748549,9.814645099247276,2.4537914074770746,1.001210400693774,1.0209564324737639,0.001957958184707428,-0.0007475574909333337,-1.2994368101007786e-15
BDF,140.16666666666666,941951.1517948278,9604.82253109505,1.975887400625618,0.00018344058950558797,1.080182888099649e-09,5.368680507064785e-05,0.0001073736101412957,9.81995474094441,2.4522386381675254,1.0012134304298368,1.02096450621901,0.0019581994828585577,-0.0007447690530217651,-1.2940653020860671e-15
BDF,140.33333333333334,943136.4501077643,9605.001522339971,1.9749925143665885,0.00041234398360215016,1.079411462404184e-09,5.367364028748142e-05,0.00010734728057496284,9.825335327704009,2.450667115549514,1.0012268640449793,1.0210003044679943,0.001961031621075019,-0.0007341675760957267,-1.2751137093798816e-15
BDF,140.5,944321.0071656499,9605.316099355845,1.9734196972930826,0.0006350033627552427,1.0786554038116328e-09,5.366073166982465e-05,0.0001073214633396493,9.830729633061436,2.449093597294499,1.001250473783404,1.021063219871169,0.0019664012756011643,-0.0007159274921971263,-1.242908017885221e-15
BDF,140.66666666666666,945504.4225210819,9605.761823400164,1.971191142422648,0.0008491268014050698,1.077922532722779e-09,5.364821319209636e-05,0.00010729642638419272,9.836080587355443,2.4475347102944833,1.0012839267740679,1.021152364680033,0.0019742289956928257,-0.0006903022216249695,-1.1979108812830908e-15
BDF,140.83333333333334,946686.311079318,9606.332911684518,1.968335763037122,0.0010525306442090913,1.0772203524543407e-09,5.3636213638046706e-05,0.00010727242727609341,9.841331888449563,2.446006774349165,1.0013267893649453,1.0212665823369036,0.0019844103232738207,-0.0006576209583284741,-1.1407150884534303e-15
BDF,141.0,947866.3070222262,9607.022309309541,1.9648888330144851,0.001243161702485699,1.0765559735221771e-09,5.362485527308348e-05,0.00010724971054616696,9.846428605533065,2.444525631360284,1.0013785325010354,1.0214044618619083,0.0019968171623397403,-0.0006182846613043726,-1.0720357257761689e-15
BDF,141.16666666666666,949044.0674981262,9607.821773937017,1.9608915634739814,0.0014191179288886302,1.0759360429567408e-09,5.361425259535222e-05,0.00010722850519070444,9.851317769605705,2.443106481629378,1.0014385380519963,1.0215643547874036,0.0020112993720008475,-0.0005727613200045066,-9.927011881658774e-16
BDF,141.33333333333334,950219.2760430046,9608.721972172072,1.9563906208708397,0.0015786673658336153,1.0753666792630525e-09,5.3604511177935935e-05,0.00010720902235587187,9.855948943654449,2.4417637288956064,1.0015061060169845,1.0217443944344144,0.0020276865619985474,-0.0005215805450140155,-9.03643158393433e-16
BDF,141.5,951391.6456970366,9609.712586734842,1.951437591142404,0.001720265160709059,1.074853413657589e-09,5.359572661507424e-05,0.00010719145323014848,9.860274765273193,2.440510835709316,1.0015804625414106,1.0219425173469685,0.0020457900724082157,-0.0004653275309975725,-8.058856605298532e-16
BDF,141.66666666666666,952560.9217836297,9610.782433305378,1.9460883954878365,0.0018425684611995138,1.07440113814095e-09,5.358798358414525e-05,0.0001071759671682905,9.864251454558948,2.4393601906201217,1.0016607686563737,1.0221564866610757,0.0020654051164775296,-0.00040463646010387285,-7.00533322831954e-16
BDF,141.83333333333334,953726.8843241761,9611.919585675518,1.940402664612237,0.001944449042593814,1.0740140608358505e-09,5.3581355032946355e-05,0.00010716271006589271,9.867839280637336,2.4383229884422217,1.0017461296419616,1.0223839171351037,0.0020863130617525968,-0.0003401834197909611,-5.88758987484274e-16
BDF,142.0,954889.3500668573,9613.111507738999,1.9344430787787141,0.0020250035525838737,1.073695668919155e-09,5.3575901499994346e-05,0.00010715180299998869,9.871002980787244,2.4374091246457565,1.0018356049132802,1.0226223015477998,0.002108283823587671,-0.0002726789103075066,-4.717907986858487e-16
BDF,142.16666666666666,956048.1741115642,9614.345190855413,1.9282746809908502,0.0020835612811134253,1.0734486994036915e-09,5.3571670574138114e-05,0.00010714334114827623,9.87371212671486,2.436627104751074,1.0019282183041438,1.0228690381710825,0.002131078346018231,-0.000202860041874428,-3.5089893549361367e-16
BDF,142.33333333333334,957203.2511166679,9615.60729511552,1.9219641706672168,0.002119689385669564,1.07327511795924e-09,5.3568696498385895e-05,0.00010713739299677179,9.87594143317584,2.4359839694418235,1.0020229686548485,1.0231214590231041,0.0021544511455293797,-0.0001314824906808571,-2.273820947340387e-16
BDF,142.5,958354.5160778699,9616.884292984947,1.9155791854237625,0.002133195530682888,1.0731761058849657e-09,5.3566999921206404e-05,0.00010713399984241281,9.877671004934866,2.4354852359399866,1.0021188405840291,1.0233768585969896,0.0021781528928739033,-5.931230884478975e-05,-1.0255386758358795e-16
BDF,142.66666666666666,959501.9446810115,9618.162617511234,1.9091875600383492,0.0021241279190779036,1.0731520551743355e-09,5.3566587795257314e-05,0.00010713317559051463,9.87888652279649,2.435134854899655,1.002214815605382,1.023632523502247,0.002201933077457457,1.2882527924602122e-05,2.2271217852721274e-17
BDF,142.83333333333334,960645.553165507,9619.428795666225,1.902856659738112,0.0020927726089610913,1.0732025726052244e-09,5.356745344008063e-05,0.00010713490688016127,9.879579344345277,2.4349351894129008,1.0023098821355,1.023885759133245,0.0022255423974839265,8.433973801617e-05,1.457901226612041e-16
BDF,143.0,961785.3978679418,9620.669607832247,1.8966525827669076,0.0020396485386033293,1.0733264901099527e-09,5.356957672185502e-05,0.00010713915344371004,9.879746573117679,2.4348870003350505,1.0024030474750092,1.0241339215664496,0.0022487356415372686,0.00015431183347192155,2.667262313684599e-16
