method,t_h,x_m,z_m,u_m_s,w_m_s,m_kg,a,c,C_D,Re,S_i,η,R,driving_factor,m_dot
LSODA,135.33333333333334,908650.1499401355,9632.680489652104,1.8365973619757396,-0.0006196139056579826,1.0816688223513756e-09,5.37121456781027e-05,0.0001074242913562054,9.832608509683213,2.4485460013471414,1.0033050445996552,1.026536097930421,0.0024792739653291098,0.0008257706343260838,1.4316624560491105e-15
LSODA,135.5,909752.7411199844,9632.233854306916,1.8388304626722127,-0.0008674948335158206,1.082515270474946e-09,5.372657034611454e-05,0.00010745314069222908,9.826507278491308,2.450325086545941,1.0032714975111883,1.0264467708613834,0.0024716391178789014,0.0007998583933093691,1.387406957655128e-15
LSODA,135.66666666666666,910856.8920756142,9631.641739047634,1.841790966327781,-0.0011041367970539536,1.0833308614240637e-09,5.374046205929905e-05,0.0001074809241185981,9.820505390514597,2.4520777163093523,1.0032270239825392,1.0263283478095269,0.002461256658805156,0.0007657673237340006,1.3289139861205755e-15
LSODA,135.83333333333334,911963.0284055728,9630.911611470518,1.845441535703318,-0.0013271512785584761,1.084107261910966e-09,5.375367978267724e-05,0.00010750735956535449,9.814664489090637,2.4537857334860242,1.003172185439455,1.0261823222941036,0.0024482573370435737,0.0007239281024115037,1.2569045234965084e-15
LSODA,136.0,913071.551203864,9630.052324152535,1.8497379086072991,-0.0015343139791712155,1.0848366129825543e-09,5.376609077741759e-05,0.00010753218155483518,9.80904383223115,2.4554315834952827,1.0031076474051452,1.026010464830507,0.0024327986563871047,0.0006748487487581371,1.1722372020657713e-15
LSODA,136.16666666666666,914182.8330594529,9629.07400949555,1.854629423667659,-0.0017235865568730642,1.0855116097772877e-09,5.377757190221802e-05,0.00010755514380443603,9.803699725885062,2.4569984928067345,1.0030341715702589,1.0258148018991102,0.0024150630405547838,0.0006191085297040863,1.0758986229365835e-15
LSODA,136.33333333333334,915297.2143901662,9627.987962164681,1.8600596081335583,-0.0018931362099564738,1.0861255750559704e-09,5.378801080348953e-05,0.00010757602160697907,9.79868499789716,2.4584706385831994,1.002952606924391,1.0255975924329364,0.0023952557348941687,0.0005573511894968637,9.689923079417644e-16
LSODA,136.5,916415.0001462137,9626.806510467364,1.8659668209739206,-0.002041352930527767,1.0866725257251865e-09,5.379730698376298e-05,0.00010759461396752596,9.794048516051944,2.45983330777264,1.002863880054902,1.0253613020934729,0.002373602468042544,0.0004902775868593579,8.527264020646744e-16
LSODA,136.66666666666666,917536.4569143631,9625.542878117472,1.8722849440520346,-0.0021668642785613933,1.0871472316442322e-09,5.3805372739014435e-05,0.00010761074547802887,9.789834753019205,2.4610730440240456,1.0027689847314838,1.0251085756234946,0.0023503468999487805,0.00041863783153501177,7.284002698161283e-16
LSODA,136.83333333333334,918661.8104493488,9624.211037907988,1.8789441137578315,-0.002268547562165956,1.0875452660826185e-09,5.381213395683517e-05,0.00010762426791367035,9.786083400393181,2.4621777809406082,1.0026689708816818,1.0248422075815977,0.002325747885369136,0.00034322299631269534,5.973901113440745e-16
LSODA,137.0,919791.2436544048,9622.825558889379,1.885871485112638,-0.002345539288291137,1.0878630472969983e-09,5.381753076892629e-05,0.00010763506153785258,9.782829034208607,2.4631369601161106,1.0025649330768178,1.0245651117778758,0.002300076584510464,0.00026485649230735715,4.611337545028226e-16
LSODA,137.16666666666666,920924.8950279454,9621.401448705452,1.8929920200875199,-0.002397241838564741,1.0880978707903907e-09,5.382151805271993e-05,0.00010764303610543986,9.78010083305139,2.463941632796044,1.0024579986750555,1.0242802897410905,0.0022736134545806234,0.00018438522047484933,3.211148328890036e-16
LSODA,137.33333333333334,922062.8575884658,9619.95399272197,1.9002292919588242,-0.0024233275085573844,1.0882479319179904e-09,5.382406577828896e-05,0.00010764813155657792,9.777922347326882,2.464584544815596,1.0023493157129801,1.0239907985443941,0.0022466451566172346,0.00010267055636290325,1.7884647158954724e-16
LSODA,137.5,923205.178284696,9618.498591671038,1.9075062970855794,-0.0024237393947093545,1.0883123386229449e-09,5.3825159198295673e-05,0.00010765031839659135,9.776311327435126,2.4650602018416365,1.0022400407081193,1.0236997183342076,0.0022194614143590304,2.0579293760309217e-05,3.585472987771325e-17
LSODA,137.66666666666666,924351.8578929574,9617.050599493055,1.9147462657003427,-0.0023986898181718053,1.0882911141995084e-09,5.382479888018039e-05,0.00010764959776036078,9.775279601959094,2.4653649169665424,1.0021313264730363,1.0234101198986112,0.0021923518616938863,-6.102538865762055e-05,-1.06338050199819e-16
LSODA,137.83333333333334,925502.8513986123,9615.625163044837,1.92187346337006,-0.002348655767244686,1.088185190096841e-09,5.3823000581240774e-05,0.00010764600116248155,9.774833013845315,2.4654968378570956,1.0020243100840729,1.0231250326089674,0.0021656029152923154,-0.00014129283121942652,-2.4622976178361017e-16
LSODA,138.0,926658.0688535362,9614.237065308038,1.9288139749561886,-0.0022743717460658058,1.0879963888963208e-09,5.381979496875635e-05,0.0001076395899375127,9.774971410120013,2.465455954478761,1.0019201011189918,1.0228474130616076,0.0021394947084874515,-0.0002193935894956832,-3.823547360827195e-16
LSODA,138.16666666666666,927817.3766967212,9612.900573686517,1.9354964631312281,-0.0021768199959471043,1.087727397709373e-09,5.3815227188735874e-05,0.00010763045437747175,9.775688686657029,2.4652440868109196,1.0018197702835872,1.0225801147373033,0.0021142981214781744,-0.00029452783789102235,-5.132994355116997e-16
LSODA,138.33333333333334,928980.5995204382,9611.629294918777,1.9418528938205974,-0.0020572182420054387,1.0873817323596686e-09,5.38093562883679e-05,0.0001076187125767358,9.776972887030546,2.464864852862855,1.0017243385397405,1.0223258589837556,0.002090271941422181,-0.000365933401681659,-6.377174537450251e-16
LSODA,138.5,930147.5222599275,9610.436038051872,1.9478192213380032,-0.0019170051036958788,1.086963692821467e-09,5.380225449865884e-05,0.00010760450899731768,9.778806354754408,2.4643236173791863,1.0016347668493457,1.0220872076103744,0.00206766018395138,-0.0004328933346056654,-7.543436350749786e-16
LSODA,138.66666666666666,931317.8927803743,9609.332686830183,1.9533360264471658,-0.0017578233314445187,1.0864783104830384e-09,5.379400638503468e-05,0.00010758801277006936,9.781165937925797,2.4636274218563616,1.0015519466251805,1.0218665373660367,0.002046689605192723,-0.0004947429800121785,-8.620071663377761e-16
LSODA,138.83333333333334,932491.4248310206,9608.330082747716,1.9583491011064973,-0.0015815010560873133,1.0859312879062453e-09,5.378470787514295e-05,0.0001075694157502859,9.784023244909449,2.4627848967384676,1.001476690982413,1.0216660165495433,0.002027567430577755,-0.0005508764481646569,-9.596434912804584e-16
LSODA,139.0,933667.8013326979,9607.437919896784,1.9628099742326504,-0.001390031252920302,1.0853289318271102e-09,5.3774465174165243e-05,0.00010754893034833049,9.787344949436397,2.4618061568516847,1.0014097268848734,1.0214875839793567,0.0020104793236129788,-0.000600752438739582,-1.0463048983959945e-15
LSODA,139.16666666666666,934846.6779618467,9606.66465261896,1.9666763734528576,-0.0011855496415109368,1.0846780802220897e-09,5.3763393579229585e-05,0.00010752678715845917,9.791093143061303,2.4607026813523873,1.001351688245117,1.021332930523792,0.001995587614415519,-0.0006438993692985191,-1.1211696968840001e-15
LSODA,139.33333333333334,936027.6869912841,9606.017416827222,1.9699126185018603,-0.0009703112562484562,1.0839860243221572e-09,5.3751616205512886e-05,0.00010750323241102577,9.795225732528122,2.459487179640727,1.0013031100554932,1.0212034833654446,0.001983029804247843,-0.0006799197487546258,-1.1835498664284229e-15
LSODA,139.5,937210.4413455762,9605.501965722959,1.9724899426449767,-0.0007466659353961529,1.0832604265048359e-09,5.373926263756706e-05,0.00010747852527513412,9.799696879138256,2.458173444855623,1.0012644235864954,1.021100393144592,0.0019729173585929026,-0.0007084937720975358,-1.232897140522933e-15
LSODA,139.66666666666666,938394.5388269386,9605.122620479371,1.9743867392689058,-0.0005170329875717379,1.0825092350318256e-09,5.3726467520262135e-05,0.00010745293504052427,9.80445747671156,2.456776196713379,1.0012359527179704,1.0210245240958744,0.001965334797565196,-0.0007293820795948062,-1.2688074345405549e-15
LSODA,139.83333333333334,939579.5664661014,9604.882236305459,1.975588731570222,-0.0002838753016561424,1.081740596618452e-09,5.371336910436309e-05,0.00010742673820872617,9.809455664240227,2.455310915562636,1.001217911406112,1.0209764472610918,0.001960339088716342,-0.0007424276826044044,-1.2910236407781667e-15
LSODA,140.0,940765.104951582,9604.782184143343,1.9760890640767943,-4.96731712878682e-05,1.0809627678289885e-09,5.3700107762267796e-05,0.00010740021552453559,9.814637368816093,2.4537936696169864,1.0012104023277122,1.0209564368286688,0.0019579593436276324,-0.0007475570159154424,-1.2994367467669582e-15
